"Date","Description","Cash Flow","Cash Flow Type","From Source","To Source","Amount","Currency","Cash Flow Detail","ForWho","Status","Note"
"2026-01-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-01-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-01-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-01-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-01-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-01-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-01-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-01-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-01-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-01-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-01-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-01-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-01-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-01-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-01-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-02-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-02-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-02-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-02-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-02-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-02-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-02-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-02-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-02-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-02-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
"2026-02-10","Food & Groceries","Expense","Food_Expenses","Cash_MG","-","30000","JPY","Cooking Food","US","Need","Groceries"
"2026-02-12","Fashion & Clothing","Expense","Fashion_Expenses","Cash_MG","-","5000","JPY","Outfit Cloth","US","Want","Clothes"
"2026-02-14","Daily Living Supplies","Expense","Living_Expenses","Cash_MG","-","10000","JPY","Daily Supplies","US","Need","Living Supplies"
"2026-02-16","Healthcare & Medicine","Expense","Healthcare","Cash_MG","-","5000","JPY","Medicine","US","Need","Healthcare"
"2026-02-25","Family Myanmar Living Support","Expense","Family_Support","KBZPay_MG","-","1000000","MMK","Living Support","Mother","Need","MMK Family Support"
"2026-03-01","Monthly Base Salary","Income","Fixed_Income","-","Bk-YUCHO_MG","232500","JPY","Salary1","MG","-","Monthly Salary"
"2026-03-01","Project Income","Income","Business_Income","-","KBZPay_MG","1000000","MMK","Tiktok","MG","-","MMK Income"
"2026-03-02","Cash Allowance Transfer","Transfer","Transfer","Bk-YUCHO_MG","Cash_MG","55000","JPY","Transfer","MG","-","Cash for daily living"
"2026-03-03","Apartment Monthly Rent","Expense","Fixed_Expenses","Bk-YUCHO_MG","-","52500","JPY","Rent Housing Fee","US","Need","House Rent"
"2026-03-05","Electricity & Utilities","Expense","Bills_Utilities","Bk-YUCHO_MG","-","15000","JPY","Electricity Bill","US","Need","Bills"
"2026-03-15","National Insurance & Taxes","Expense","Taxes_Insurance","Bk-YUCHO_MG","-","70000","JPY","Health Insurance","US","Need","Insurance & Tax"
"2026-03-20","Work Equipment & Supplies","Expense","Work_Expenses","Bk-YUCHO_MG","-","30000","JPY","Stationery","MG","Need","Work Expenses"
"2026-03-22","Education & Courses","Expense","Education","Bk-YUCHO_MG","-","5000","JPY","Online Course","MG","Need","Education"
"2026-03-24","Entertainment & Hobbies","Expense","Entertainment","Bk-YUCHO_MG","-","5000","JPY","Streaming","US","Want","Entertainment"
"2026-03-08","Monthly Transportation Fare","Expense","Transportation","Cash_MG","-","5000","JPY","Train","US","Need","Commute Fare"
